Position,Track Name,Artist,Streams,URL,Date,Region
75,Mi Gente (feat. BeyoncÃ©),J Balvin,32370,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw,08/12/2017,ar
76,Que Rico Baila,Rombai,31085,https://open.spotify.com/track/5QTWB74jDroxV6DvMqV533,08/12/2017,ar
77,Netflixxx,Brytiago,30962,https://open.spotify.com/track/5gFAT2DbEt4TOMXyAMEixG,08/12/2017,ar
78,Perfect Duet (Ed Sheeran & BeyoncÃ©),Ed Sheeran,30728,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,08/12/2017,ar
79,"Amor, Amor, Amor",Jennifer Lopez,30641,https://open.spotify.com/track/7h9sdbDEBfkWSmO4mzGED6,08/12/2017,ar
80,Una y Otra Vez,Rombai,30248,https://open.spotify.com/track/3VSt7R9LHTomKGP1RhkvuT,08/12/2017,ar
81,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,30227,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,08/12/2017,ar
82,Te Quiero MÃ¡s,TINI,30118,https://open.spotify.com/track/1LJZUPoyDiYLO4DQS6pWS0,08/12/2017,ar
83,Intento,Ulises Bueno,30056,https://open.spotify.com/track/1nvomogWZSfnw3H4Uti0eL,08/12/2017,ar
84,Chantaje,Shakira,29986,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,08/12/2017,ar
85,Gucci Gang,Lil Pump,29803,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,08/12/2017,ar
86,Me EnamorÃ©,Shakira,29795,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9,08/12/2017,ar
87,rockstar,Post Malone,29580,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,08/12/2017,ar
88,Besame,Valentino,29392,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz,08/12/2017,ar
