"","Rank","Track","Artist","Streams","Date"
"191",191,"La Ãšltima Vez","Anuel Aa",16177,2017-08-12
"192",192,"A las Nueve","No Te Va Gustar",16118,2017-08-12
"193",193,"Personalmente","Las Pelotas",16038,2017-08-12
"194",194,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",16016,2017-08-12
"195",195,"Gabriela","Ulises Bueno",15992,2017-08-12
"196",196,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version","Pitbull",15878,2017-08-12
"197",197,"No Vendo Trap","Duki",15797,2017-08-12
"198",198,"Noche Loca","Marama",15783,2017-08-12
"199",199,"Look What You Made Me Do","Taylor Swift",15748,2017-08-12
"200",200,"ReggaetÃ³n Lento (Remix)","CNCO",15672,2017-08-12
