"","Rank","Track","Artist","Streams","Date"
"125",30,"Armed And Dangerous","Juice WRLD",954810,2018-12-08
"126",31,"Blue Christmas","Elvis Presley",948955,2018-12-08
"127",32,"Shotgun","George Ezra",947865,2018-12-08
"128",33,"FRIENDS","Marshmello",947065,2018-12-08
"129",34,"Perfect","Ed Sheeran",944557,2018-12-08
"130",36,"Beautiful (feat. Camila Cabello)","Bazzi",935025,2018-12-08
"131",37,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",928230,2018-12-08
"132",38,"Christmas Lights","Coldplay",927991,2018-12-08
"133",39,"The Middle","Zedd",925767,2018-12-08
"134",40,"Culpables","Karol G",921765,2018-12-08
"135",41,"Ya No Tiene Novio","Sebastian Yatra",920800,2018-12-08
"136",42,"Mala Mía","Maluma",919309,2018-12-08
"137",43,"MALA (feat. Anuel Aa)","6ix9ine",914781,2018-12-08
"138",44,"New Rules","Dua Lipa",909416,2018-12-08
"139",45,"SOLO","JENNIE",903643,2018-12-08
"140",47,"Thunder","Imagine Dragons",891193,2018-12-08
"141",48,"Nice For What","Drake",889909,2018-12-08
"142",49,"No Stylist","French Montana",885328,2018-12-08
"143",50,"My Only Wish (This Year)","Britney Spears",879072,2018-12-08
"144",51,"Money","Cardi B",865554,2018-12-08
"145",52,"I Fall Apart","Post Malone",861737,2018-12-08
"146",53,"Christmas (Baby Please Come Home)","Mariah Carey",850977,2018-12-08
"147",54,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",850633,2018-12-08
"148",55,"Step Into Christmas","Elton John",846051,2018-12-08
"149",56,"idontwannabeyouanymore","Billie Eilish",845852,2018-12-08
"150",58,"Santa Baby","Ariana Grande",843950,2018-12-08
"151",59,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",842173,2018-12-08
"152",60,"bellyache","Billie Eilish",839781,2018-12-08
"153",61,"No Es Justo","J Balvin",833019,2018-12-08
"154",62,"Santa Baby","Kylie Minogue",827742,2018-12-08
"155",63,"We Will Rock You - Remastered","Queen",827337,2018-12-08
"156",64,"Everybody Dies In Their Nightmares","XXXTENTACION",811469,2018-12-08
"157",65,"WAKA (feat. A Boogie Wit da Hoodie)","6ix9ine",810138,2018-12-08
"158",66,"Asesina - Remix","Brytiago",809285,2018-12-08
"159",67,"Electricity (with Dua Lipa)","Silk City",808426,2018-12-08
"160",69,"Sin Pijama","Becky G",800953,2018-12-08
"161",70,"Say My Name","David Guetta",800134,2018-12-08
"162",71,"Lucky You (feat. Joyner Lucas)","Eminem",792106,2018-12-08
"163",72,"XO TOUR Llif3","Lil Uzi Vert",790473,2018-12-08
"164",73,"Look Alive (feat. Drake)","BlocBoy JB",783439,2018-12-08
"165",74,"Winter Wonderland","Tony Bennett",778690,2018-12-08
"166",75,"Jackie Chan","Tiësto",767531,2018-12-08
"167",76,"I Like Me Better","Lauv",763619,2018-12-08
"168",77,"Toda - Remix","Alex Rose",763107,2018-12-08
"169",78,"Run Rudolph Run - Single Version","Chuck Berry",750799,2018-12-08
"170",80,"Yes Indeed","Lil Baby",747882,2018-12-08
"171",81,"Thunderclouds (with Sia, Diplo & Labrinth)","Sia",747393,2018-12-08
"172",82,"10 Freaky Girls (with 21 Savage)","Metro Boomin",745037,2018-12-08
"173",83,"Always Remember Us This Way","Lady Gaga",743531,2018-12-08
"174",84,"Too Good At Goodbyes","Sam Smith",739997,2018-12-08
"175",85,"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt",737661,2018-12-08
"176",86,"Fine China","Future",737453,2018-12-08
"177",87,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",736198,2018-12-08
"178",88,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",735963,2018-12-08
"179",89,"I'll Be Home","Meghan Trainor",735796,2018-12-08
"180",91,"This Feeling","The Chainsmokers",734794,2018-12-08
"181",92,"Mine","Bazzi",734561,2018-12-08
"182",93,"One More Sleep","Leona Lewis",731035,2018-12-08
"183",94,"I'm a Mess","Bebe Rexha",727422,2018-12-08
